,race,position,number,Driver,original_team_name,laps,secs,points,year
1,"Melbourne Grand Prix Circuit, Australia",1,22,BUT,Brawn Mercedes,58,34:15.8,10,2009
2,"Melbourne Grand Prix Circuit, Australia",2,23,BAR,Brawn Mercedes,58,+0.807s,8,2009
3,"Melbourne Grand Prix Circuit, Australia",3,9,TRU,Toyota,58,+1.604s,6,2009
4,"Melbourne Grand Prix Circuit, Australia",DQ,1,HAM,McLaren Mercedes,58,+2.914s,0,2009
5,"Melbourne Grand Prix Circuit, Australia",4,10,GLO,Toyota,58,+4.435s,5,2009
6,"Melbourne Grand Prix Circuit, Australia",5,7,ALO,Renault,58,+4.879s,4,2009
7,"Melbourne Grand Prix Circuit, Australia",6,16,ROS,Williams Toyota,58,+5.722s,3,2009
8,"Melbourne Grand Prix Circuit, Australia",7,12,BUE,STR Ferrari,58,+6.004s,2,2009
9,"Melbourne Grand Prix Circuit, Australia",8,11,BOU,STR Ferrari,58,+6.298s,1,2009
10,"Melbourne Grand Prix Circuit, Australia",9,20,SUT,Force India Mercedes,58,+6.335s,0,2009
11,"Melbourne Grand Prix Circuit, Australia",10,6,HEI,Sauber BMW,58,+7.085s,0,2009
12,"Melbourne Grand Prix Circuit, Australia",11,21,FIS,Force India Mercedes,58,+7.374s,0,2009
13,"Melbourne Grand Prix Circuit, Australia",12,14,WEB,RBR Renault,57,+1 lap,0,2009
14,"Melbourne Grand Prix Circuit, Australia",13,15,VET,RBR Renault,56,DNF,0,2009
15,"Melbourne Grand Prix Circuit, Australia",14,5,KUB,Sauber BMW,55,DNF,0,2009
16,"Melbourne Grand Prix Circuit, Australia",15,4,RAI,Ferrari,55,DNF,0,2009
17,"Melbourne Grand Prix Circuit, Australia",NC,3,MAS,Ferrari,45,DNF,0,2009
18,"Melbourne Grand Prix Circuit, Australia",NC,8,PIQ,Renault,24,DNF,0,2009
19,"Melbourne Grand Prix Circuit, Australia",NC,17,NAK,Williams Toyota,17,DNF,0,2009
20,"Melbourne Grand Prix Circuit, Australia",NC,2,KOV,McLaren Mercedes,0,DNF,0,2009
21,"Sepang International Circuit, Malaysia",1,22,BUT,Brawn Mercedes,31,55:30.6,5,2009
22,"Sepang International Circuit, Malaysia",2,6,HEI,Sauber BMW,31,+22.722s,4,2009
23,"Sepang International Circuit, Malaysia",3,10,GLO,Toyota,31,+23.513s,3,2009
24,"Sepang International Circuit, Malaysia",4,9,TRU,Toyota,31,+46.173s,2.5,2009
25,"Sepang International Circuit, Malaysia",5,23,BAR,Brawn Mercedes,31,+47.360s,2,2009
26,"Sepang International Circuit, Malaysia",6,14,WEB,RBR Renault,31,+52.333s,1.5,2009
27,"Sepang International Circuit, Malaysia",7,1,HAM,McLaren Mercedes,31,+60.733s,1,2009
28,"Sepang International Circuit, Malaysia",8,16,ROS,Williams Toyota,31,+71.576s,0.5,2009
29,"Sepang International Circuit, Malaysia",9,3,MAS,Ferrari,31,+76.932s,0,2009
30,"Sepang International Circuit, Malaysia",10,11,BOU,STR Ferrari,31,+102.164s,0,2009
31,"Sepang International Circuit, Malaysia",11,7,ALO,Renault,31,+109.422s,0,2009
32,"Sepang International Circuit, Malaysia",12,17,NAK,Williams Toyota,31,+116.130s,0,2009
33,"Sepang International Circuit, Malaysia",13,8,PIQ,Renault,31,+116.713s,0,2009
34,"Sepang International Circuit, Malaysia",14,4,RAI,Ferrari,31,+142.841s,0,2009
35,"Sepang International Circuit, Malaysia",15,15,VET,RBR Renault,30,DNF,0,2009
36,"Sepang International Circuit, Malaysia",16,12,BUE,STR Ferrari,30,DNF,0,2009
37,"Sepang International Circuit, Malaysia",17,20,SUT,Force India Mercedes,30,+1 lap,0,2009
38,"Sepang International Circuit, Malaysia",18,21,FIS,Force India Mercedes,29,DNF,0,2009
39,"Sepang International Circuit, Malaysia",NC,5,KUB,Sauber BMW,1,DNF,0,2009
40,"Sepang International Circuit, Malaysia",NC,2,KOV,McLaren Mercedes,0,DNF,0,2009
41,"Shanghai International Circuit, China",1,15,VET,RBR Renault,56,57:43.5,10,2009
42,"Shanghai International Circuit, China",2,14,WEB,RBR Renault,56,+10.970s,8,2009
43,"Shanghai International Circuit, China",3,22,BUT,Brawn Mercedes,56,+44.975s,6,2009
44,"Shanghai International Circuit, China",4,23,BAR,Brawn Mercedes,56,+63.704s,5,2009
45,"Shanghai International Circuit, China",5,2,KOV,McLaren Mercedes,56,+65.102s,4,2009
46,"Shanghai International Circuit, China",6,1,HAM,McLaren Mercedes,56,+71.866s,3,2009
47,"Shanghai International Circuit, China",7,10,GLO,Toyota,56,+74.476s,2,2009
48,"Shanghai International Circuit, China",8,12,BUE,STR Ferrari,56,+76.439s,1,2009
49,"Shanghai International Circuit, China",9,7,ALO,Renault,56,+84.309s,0,2009
50,"Shanghai International Circuit, China",10,4,RAI,Ferrari,56,+91.750s,0,2009
51,"Shanghai International Circuit, China",11,11,BOU,STR Ferrari,56,+94.156s,0,2009
52,"Shanghai International Circuit, China",12,6,HEI,Sauber BMW,56,+95.834s,0,2009
53,"Shanghai International Circuit, China",13,5,KUB,Sauber BMW,56,+106.853s,0,2009
54,"Shanghai International Circuit, China",14,21,FIS,Force India Mercedes,55,+1 lap,0,2009
55,"Shanghai International Circuit, China",15,16,ROS,Williams Toyota,55,+1 lap,0,2009
56,"Shanghai International Circuit, China",16,8,PIQ,Renault,54,+2 laps,0,2009
57,"Shanghai International Circuit, China",17,20,SUT,Force India Mercedes,50,DNF,0,2009
58,"Shanghai International Circuit, China",NC,17,NAK,Williams Toyota,43,DNF,0,2009
59,"Shanghai International Circuit, China",NC,3,MAS,Ferrari,20,DNF,0,2009
60,"Shanghai International Circuit, China",NC,9,TRU,Toyota,18,DNF,0,2009
61,"Bahrain International Circuit, Bahrain",1,22,BUT,Brawn Mercedes,57,31:48.2,10,2009
62,"Bahrain International Circuit, Bahrain",2,15,VET,RBR Renault,57,+7.187s,8,2009
63,"Bahrain International Circuit, Bahrain",3,9,TRU,Toyota,57,+9.170s,6,2009
64,"Bahrain International Circuit, Bahrain",4,1,HAM,McLaren Mercedes,57,+22.096s,5,2009
65,"Bahrain International Circuit, Bahrain",5,23,BAR,Brawn Mercedes,57,+37.779s,4,2009
66,"Bahrain International Circuit, Bahrain",6,4,RAI,Ferrari,57,+42.057s,3,2009
67,"Bahrain International Circuit, Bahrain",7,10,GLO,Toyota,57,+42.880s,2,2009
68,"Bahrain International Circuit, Bahrain",8,7,ALO,Renault,57,+52.775s,1,2009
69,"Bahrain International Circuit, Bahrain",9,16,ROS,Williams Toyota,57,+58.198s,0,2009
70,"Bahrain International Circuit, Bahrain",10,8,PIQ,Renault,57,+65.149s,0,2009
71,"Bahrain International Circuit, Bahrain",11,14,WEB,RBR Renault,57,+67.641s,0,2009
72,"Bahrain International Circuit, Bahrain",12,2,KOV,McLaren Mercedes,57,+77.824s,0,2009
73,"Bahrain International Circuit, Bahrain",13,11,BOU,STR Ferrari,57,+78.805s,0,2009
74,"Bahrain International Circuit, Bahrain",14,3,MAS,Ferrari,56,+1 lap,0,2009
75,"Bahrain International Circuit, Bahrain",15,21,FIS,Force India Mercedes,56,+1 lap,0,2009
76,"Bahrain International Circuit, Bahrain",16,20,SUT,Force India Mercedes,56,+1 lap,0,2009
77,"Bahrain International Circuit, Bahrain",17,12,BUE,STR Ferrari,56,+1 lap,0,2009
78,"Bahrain International Circuit, Bahrain",18,5,KUB,Sauber BMW,56,+1 lap,0,2009
79,"Bahrain International Circuit, Bahrain",19,6,HEI,Sauber BMW,56,+1 lap,0,2009
80,"Bahrain International Circuit, Bahrain",NC,17,NAK,Williams Toyota,48,DNF,0,2009
81,"Circuit de Catalunya, Spain",1,22,BUT,Brawn Mercedes,66,37:19.2,10,2009
82,"Circuit de Catalunya, Spain",2,23,BAR,Brawn Mercedes,66,+13.056s,8,2009
83,"Circuit de Catalunya, Spain",3,14,WEB,RBR Renault,66,+13.924s,6,2009
84,"Circuit de Catalunya, Spain",4,15,VET,RBR Renault,66,+18.941s,5,2009
85,"Circuit de Catalunya, Spain",5,7,ALO,Renault,66,+43.166s,4,2009
86,"Circuit de Catalunya, Spain",6,3,MAS,Ferrari,66,+50.827s,3,2009
87,"Circuit de Catalunya, Spain",7,6,HEI,Sauber BMW,66,+52.312s,2,2009
88,"Circuit de Catalunya, Spain",8,16,ROS,Williams Toyota,66,+65.211s,1,2009
89,"Circuit de Catalunya, Spain",9,1,HAM,McLaren Mercedes,65,+1 lap,0,2009
90,"Circuit de Catalunya, Spain",10,10,GLO,Toyota,65,+1 lap,0,2009
91,"Circuit de Catalunya, Spain",11,5,KUB,Sauber BMW,65,+1 lap,0,2009
92,"Circuit de Catalunya, Spain",12,8,PIQ,Renault,65,+1 lap,0,2009
93,"Circuit de Catalunya, Spain",13,17,NAK,Williams Toyota,65,+1 lap,0,2009
94,"Circuit de Catalunya, Spain",14,21,FIS,Force India Mercedes,65,+1 lap,0,2009
95,"Circuit de Catalunya, Spain",NC,4,RAI,Ferrari,17,DNF,0,2009
96,"Circuit de Catalunya, Spain",NC,2,KOV,McLaren Mercedes,7,DNF,0,2009
97,"Circuit de Catalunya, Spain",NC,9,TRU,Toyota,0,DNF,0,2009
98,"Circuit de Catalunya, Spain",NC,12,BUE,STR Ferrari,0,DNF,0,2009
99,"Circuit de Catalunya, Spain",NC,11,BOU,STR Ferrari,0,DNF,0,2009
100,"Circuit de Catalunya, Spain",NC,20,SUT,Force India Mercedes,0,DNF,0,2009
101,"Circuit de Monaco, Monaco",1,22,BUT,Brawn Mercedes,78,40:44.3,10,2009
102,"Circuit de Monaco, Monaco",2,23,BAR,Brawn Mercedes,78,+7.666s,8,2009
103,"Circuit de Monaco, Monaco",3,4,RAI,Ferrari,78,+13.442s,6,2009
104,"Circuit de Monaco, Monaco",4,3,MAS,Ferrari,78,+15.110s,5,2009
105,"Circuit de Monaco, Monaco",5,14,WEB,RBR Renault,78,+15.730s,4,2009
106,"Circuit de Monaco, Monaco",6,16,ROS,Williams Toyota,78,+33.586s,3,2009
107,"Circuit de Monaco, Monaco",7,7,ALO,Renault,78,+37.839s,2,2009
108,"Circuit de Monaco, Monaco",8,11,BOU,STR Ferrari,78,+63.142s,1,2009
109,"Circuit de Monaco, Monaco",9,21,FIS,Force India Mercedes,78,+65.040s,0,2009
110,"Circuit de Monaco, Monaco",10,10,GLO,Toyota,77,+1 lap,0,2009
111,"Circuit de Monaco, Monaco",11,6,HEI,Sauber BMW,77,+1 lap,0,2009
112,"Circuit de Monaco, Monaco",12,1,HAM,McLaren Mercedes,77,+1 lap,0,2009
113,"Circuit de Monaco, Monaco",13,9,TRU,Toyota,77,+1 lap,0,2009
114,"Circuit de Monaco, Monaco",14,20,SUT,Force India Mercedes,77,+1 lap,0,2009
115,"Circuit de Monaco, Monaco",15,17,NAK,Williams Toyota,76,DNF,0,2009
116,"Circuit de Monaco, Monaco",NC,2,KOV,McLaren Mercedes,51,DNF,0,2009
117,"Circuit de Monaco, Monaco",NC,5,KUB,Sauber BMW,28,DNF,0,2009
118,"Circuit de Monaco, Monaco",NC,15,VET,RBR Renault,15,DNF,0,2009
119,"Circuit de Monaco, Monaco",NC,8,PIQ,Renault,10,DNF,0,2009
120,"Circuit de Monaco, Monaco",NC,12,BUE,STR Ferrari,10,DNF,0,2009
121,"Istanbul Park, Turkey",1,22,BUT,Brawn Mercedes,58,26:24.8,10,2009
122,"Istanbul Park, Turkey",2,14,WEB,RBR Renault,58,+6.714s,8,2009
123,"Istanbul Park, Turkey",3,15,VET,RBR Renault,58,+7.461s,6,2009
124,"Istanbul Park, Turkey",4,9,TRU,Toyota,58,+27.843s,5,2009
125,"Istanbul Park, Turkey",5,16,ROS,Williams Toyota,58,+31.539s,4,2009
126,"Istanbul Park, Turkey",6,3,MAS,Ferrari,58,+39.996s,3,2009
127,"Istanbul Park, Turkey",7,5,KUB,Sauber BMW,58,+46.247s,2,2009
128,"Istanbul Park, Turkey",8,10,GLO,Toyota,58,+46.959s,1,2009
129,"Istanbul Park, Turkey",9,4,RAI,Ferrari,58,+50.246s,0,2009
130,"Istanbul Park, Turkey",10,7,ALO,Renault,58,+62.420s,0,2009
131,"Istanbul Park, Turkey",11,6,HEI,Sauber BMW,58,+64.327s,0,2009
132,"Istanbul Park, Turkey",12,17,NAK,Williams Toyota,58,+66.376s,0,2009
133,"Istanbul Park, Turkey",13,1,HAM,McLaren Mercedes,58,+80.454s,0,2009
134,"Istanbul Park, Turkey",14,2,KOV,McLaren Mercedes,57,+1 lap,0,2009
135,"Istanbul Park, Turkey",15,12,BUE,STR Ferrari,57,+1 lap,0,2009
136,"Istanbul Park, Turkey",16,8,PIQ,Renault,57,+1 lap,0,2009
137,"Istanbul Park, Turkey",17,20,SUT,Force India Mercedes,57,+1 lap,0,2009
138,"Istanbul Park, Turkey",18,11,BOU,STR Ferrari,57,+1 lap,0,2009
139,"Istanbul Park, Turkey",NC,23,BAR,Brawn Mercedes,47,DNF,0,2009
140,"Istanbul Park, Turkey",NC,21,FIS,Force India Mercedes,4,DNF,0,2009
141,"Silverstone Circuit, Great Britain",1,15,VET,RBR Renault,60,22:49.3,10,2009
142,"Silverstone Circuit, Great Britain",2,14,WEB,RBR Renault,60,+15.188s,8,2009
143,"Silverstone Circuit, Great Britain",3,23,BAR,Brawn Mercedes,60,+41.175s,6,2009
144,"Silverstone Circuit, Great Britain",4,3,MAS,Ferrari,60,+45.043s,5,2009
145,"Silverstone Circuit, Great Britain",5,16,ROS,Williams Toyota,60,+45.915s,4,2009
146,"Silverstone Circuit, Great Britain",6,22,BUT,Brawn Mercedes,60,+46.285s,3,2009
147,"Silverstone Circuit, Great Britain",7,9,TRU,Toyota,60,+68.307s,2,2009
148,"Silverstone Circuit, Great Britain",8,4,RAI,Ferrari,60,+69.622s,1,2009
149,"Silverstone Circuit, Great Britain",9,10,GLO,Toyota,60,+69.823s,0,2009
150,"Silverstone Circuit, Great Britain",10,21,FIS,Force India Mercedes,60,+71.522s,0,2009
151,"Silverstone Circuit, Great Britain",11,17,NAK,Williams Toyota,60,+74.023s,0,2009
152,"Silverstone Circuit, Great Britain",12,8,PIQ,Renault,59,+1 lap,0,2009
153,"Silverstone Circuit, Great Britain",13,5,KUB,Sauber BMW,59,+1 lap,0,2009
154,"Silverstone Circuit, Great Britain",14,7,ALO,Renault,59,+1 lap,0,2009
155,"Silverstone Circuit, Great Britain",15,6,HEI,Sauber BMW,59,+1 lap,0,2009
156,"Silverstone Circuit, Great Britain",16,1,HAM,McLaren Mercedes,59,+1 lap,0,2009
157,"Silverstone Circuit, Great Britain",17,20,SUT,Force India Mercedes,59,+1 lap,0,2009
158,"Silverstone Circuit, Great Britain",18,12,BUE,STR Ferrari,59,+1 lap,0,2009
159,"Silverstone Circuit, Great Britain",NC,11,BOU,STR Ferrari,37,DNF,0,2009
160,"Silverstone Circuit, Great Britain",NC,2,KOV,McLaren Mercedes,36,DNF,0,2009
161,"Nurburgring, Germany",1,14,WEB,RBR Renault,60,36:43.3,10,2009
162,"Nurburgring, Germany",2,15,VET,RBR Renault,60,+9.252s,8,2009
163,"Nurburgring, Germany",3,3,MAS,Ferrari,60,+15.906s,6,2009
164,"Nurburgring, Germany",4,16,ROS,Williams Toyota,60,+21.099s,5,2009
165,"Nurburgring, Germany",5,22,BUT,Brawn Mercedes,60,+23.609s,4,2009
166,"Nurburgring, Germany",6,23,BAR,Brawn Mercedes,60,+24.468s,3,2009
167,"Nurburgring, Germany",7,7,ALO,Renault,60,+24.888s,2,2009
168,"Nurburgring, Germany",8,2,KOV,McLaren Mercedes,60,+58.692s,1,2009
169,"Nurburgring, Germany",9,10,GLO,Toyota,60,+61.457s,0,2009
170,"Nurburgring, Germany",10,6,HEI,Sauber BMW,60,+61.925s,0,2009
171,"Nurburgring, Germany",11,21,FIS,Force India Mercedes,60,+62.327s,0,2009
172,"Nurburgring, Germany",12,17,NAK,Williams Toyota,60,+62.876s,0,2009
173,"Nurburgring, Germany",13,8,PIQ,Renault,60,+68.328s,0,2009
174,"Nurburgring, Germany",14,5,KUB,Sauber BMW,60,+69.555s,0,2009
175,"Nurburgring, Germany",15,20,SUT,Force India Mercedes,60,+71.941s,0,2009
176,"Nurburgring, Germany",16,12,BUE,STR Ferrari,60,+90.225s,0,2009
177,"Nurburgring, Germany",17,9,TRU,Toyota,60,+90.970s,0,2009
178,"Nurburgring, Germany",18,1,HAM,McLaren Mercedes,59,+1 lap,0,2009
179,"Nurburgring, Germany",NC,4,RAI,Ferrari,34,DNF,0,2009
180,"Nurburgring, Germany",NC,11,BOU,STR Ferrari,18,DNF,0,2009
181,"Hungaroring, Hungary",1,1,HAM,McLaren Mercedes,70,38:23.9,10,2009
182,"Hungaroring, Hungary",2,4,RAI,Ferrari,70,+11.529s,8,2009
183,"Hungaroring, Hungary",3,14,WEB,RBR Renault,70,+16.886s,6,2009
184,"Hungaroring, Hungary",4,16,ROS,Williams Toyota,70,+26.967s,5,2009
185,"Hungaroring, Hungary",5,2,KOV,McLaren Mercedes,70,+34.392s,4,2009
186,"Hungaroring, Hungary",6,10,GLO,Toyota,70,+35.237s,3,2009
187,"Hungaroring, Hungary",7,22,BUT,Brawn Mercedes,70,+55.088s,2,2009
188,"Hungaroring, Hungary",8,9,TRU,Toyota,70,+68.172s,1,2009
189,"Hungaroring, Hungary",9,17,NAK,Williams Toyota,70,+68.774s,0,2009
190,"Hungaroring, Hungary",10,23,BAR,Brawn Mercedes,70,+69.256s,0,2009
191,"Hungaroring, Hungary",11,6,HEI,Sauber BMW,70,+70.612s,0,2009
192,"Hungaroring, Hungary",12,8,PIQ,Renault,70,+71.512s,0,2009
193,"Hungaroring, Hungary",13,5,KUB,Sauber BMW,70,+74.046s,0,2009
194,"Hungaroring, Hungary",14,21,FIS,Force India Mercedes,69,+1 lap,0,2009
195,"Hungaroring, Hungary",15,11,ALG,STR Ferrari,69,+1 lap,0,2009
196,"Hungaroring, Hungary",16,12,BUE,STR Ferrari,69,+1 lap,0,2009
197,"Hungaroring, Hungary",NC,15,VET,RBR Renault,29,DNF,0,2009
198,"Hungaroring, Hungary",NC,7,ALO,Renault,15,DNF,0,2009
199,"Hungaroring, Hungary",NC,20,SUT,Force India Mercedes,1,DNF,0,2009
200,"Valencia Street Circuit, Spain",1,23,BAR,Brawn Mercedes,57,35:51.3,10,2009
201,"Valencia Street Circuit, Spain",2,1,HAM,McLaren Mercedes,57,+2.358s,8,2009
202,"Valencia Street Circuit, Spain",3,4,RAI,Ferrari,57,+15.994s,6,2009
203,"Valencia Street Circuit, Spain",4,2,KOV,McLaren Mercedes,57,+20.032s,5,2009
204,"Valencia Street Circuit, Spain",5,16,ROS,Williams Toyota,57,+20.870s,4,2009
205,"Valencia Street Circuit, Spain",6,7,ALO,Renault,57,+27.744s,3,2009
206,"Valencia Street Circuit, Spain",7,22,BUT,Brawn Mercedes,57,+34.913s,2,2009
207,"Valencia Street Circuit, Spain",8,5,KUB,Sauber BMW,57,+36.667s,1,2009
208,"Valencia Street Circuit, Spain",9,14,WEB,RBR Renault,57,+44.910s,0,2009
209,"Valencia Street Circuit, Spain",10,20,SUT,Force India Mercedes,57,+47.935s,0,2009
210,"Valencia Street Circuit, Spain",11,6,HEI,Sauber BMW,57,+48.822s,0,2009
211,"Valencia Street Circuit, Spain",12,21,FIS,Force India Mercedes,57,+63.614s,0,2009
212,"Valencia Street Circuit, Spain",13,9,TRU,Toyota,57,+64.527s,0,2009
213,"Valencia Street Circuit, Spain",14,10,GLO,Toyota,57,+86.519s,0,2009
214,"Valencia Street Circuit, Spain",15,8,GRO,Renault,57,+91.774s,0,2009
215,"Valencia Street Circuit, Spain",16,11,ALG,STR Ferrari,56,+1 lap,0,2009
216,"Valencia Street Circuit, Spain",17,3,BAD,Ferrari,56,+1 lap,0,2009
217,"Valencia Street Circuit, Spain",18,17,NAK,Williams Toyota,54,DNF,0,2009
218,"Valencia Street Circuit, Spain",NC,12,BUE,STR Ferrari,41,DNF,0,2009
219,"Valencia Street Circuit, Spain",NC,15,VET,RBR Renault,23,DNF,0,2009
220,"Circuit de Spa-Francorchamps, Belgium",1,4,RAI,Ferrari,44,23:51.0,10,2009
221,"Circuit de Spa-Francorchamps, Belgium",2,21,FIS,Force India Mercedes,44,+0.939s,8,2009
222,"Circuit de Spa-Francorchamps, Belgium",3,15,VET,RBR Renault,44,+3.875s,6,2009
223,"Circuit de Spa-Francorchamps, Belgium",4,5,KUB,Sauber BMW,44,+9.966s,5,2009
224,"Circuit de Spa-Francorchamps, Belgium",5,6,HEI,Sauber BMW,44,+11.276s,4,2009
225,"Circuit de Spa-Francorchamps, Belgium",6,2,KOV,McLaren Mercedes,44,+32.763s,3,2009
226,"Circuit de Spa-Francorchamps, Belgium",7,23,BAR,Brawn Mercedes,44,+35.461s,2,2009
227,"Circuit de Spa-Francorchamps, Belgium",8,16,ROS,Williams Toyota,44,+36.208s,1,2009
228,"Circuit de Spa-Francorchamps, Belgium",9,14,WEB,RBR Renault,44,+36.959s,0,2009
229,"Circuit de Spa-Francorchamps, Belgium",10,10,GLO,Toyota,44,+41.490s,0,2009
230,"Circuit de Spa-Francorchamps, Belgium",11,20,SUT,Force India Mercedes,44,+42.636s,0,2009
231,"Circuit de Spa-Francorchamps, Belgium",12,12,BUE,STR Ferrari,44,+46.106s,0,2009
232,"Circuit de Spa-Francorchamps, Belgium",13,17,NAK,Williams Toyota,44,+54.241s,0,2009
233,"Circuit de Spa-Francorchamps, Belgium",14,3,BAD,Ferrari,44,+102.177s,0,2009
234,"Circuit de Spa-Francorchamps, Belgium",NC,7,ALO,Renault,26,DNF,0,2009
235,"Circuit de Spa-Francorchamps, Belgium",NC,9,TRU,Toyota,21,DNF,0,2009
236,"Circuit de Spa-Francorchamps, Belgium",NC,1,HAM,McLaren Mercedes,0,DNF,0,2009
237,"Circuit de Spa-Francorchamps, Belgium",NC,22,BUT,Brawn Mercedes,0,DNF,0,2009
238,"Circuit de Spa-Francorchamps, Belgium",NC,11,ALG,STR Ferrari,0,DNF,0,2009
239,"Circuit de Spa-Francorchamps, Belgium",NC,8,GRO,Renault,0,DNF,0,2009
240,"Autodromo Nazionale Monza, Italy",1,23,BAR,Brawn Mercedes,53,16:21.7,10,2009
241,"Autodromo Nazionale Monza, Italy",2,22,BUT,Brawn Mercedes,53,+2.866s,8,2009
242,"Autodromo Nazionale Monza, Italy",3,4,RAI,Ferrari,53,+30.664s,6,2009
243,"Autodromo Nazionale Monza, Italy",4,20,SUT,Force India Mercedes,53,+31.131s,5,2009
244,"Autodromo Nazionale Monza, Italy",5,7,ALO,Renault,53,+59.182s,4,2009
245,"Autodromo Nazionale Monza, Italy",6,2,KOV,McLaren Mercedes,53,+60.693s,3,2009
246,"Autodromo Nazionale Monza, Italy",7,6,HEI,Sauber BMW,53,+82.412s,2,2009
247,"Autodromo Nazionale Monza, Italy",8,15,VET,RBR Renault,53,+85.407s,1,2009
248,"Autodromo Nazionale Monza, Italy",9,3,FIS,Ferrari,53,+86.856s,0,2009
249,"Autodromo Nazionale Monza, Italy",10,17,NAK,Williams Toyota,53,+162.163s,0,2009
250,"Autodromo Nazionale Monza, Italy",11,10,GLO,Toyota,53,+163.925s,0,2009
251,"Autodromo Nazionale Monza, Italy",12,1,HAM,McLaren Mercedes,52,DNF,0,2009
252,"Autodromo Nazionale Monza, Italy",13,12,BUE,STR Ferrari,52,DNF,0,2009
253,"Autodromo Nazionale Monza, Italy",14,9,TRU,Toyota,52,+1 lap,0,2009
254,"Autodromo Nazionale Monza, Italy",15,8,GRO,Renault,52,+1 lap,0,2009
255,"Autodromo Nazionale Monza, Italy",16,16,ROS,Williams Toyota,51,+2 laps,0,2009
256,"Autodromo Nazionale Monza, Italy",NC,21,LIU,Force India Mercedes,22,DNF,0,2009
257,"Autodromo Nazionale Monza, Italy",NC,11,ALG,STR Ferrari,19,DNF,0,2009
258,"Autodromo Nazionale Monza, Italy",NC,5,KUB,Sauber BMW,15,DNF,0,2009
259,"Autodromo Nazionale Monza, Italy",NC,14,WEB,RBR Renault,0,DNF,0,2009
260,"Marina Bay Street Circuit, Singapore",1,1,HAM,McLaren Mercedes,61,56:06.3,10,2009
261,"Marina Bay Street Circuit, Singapore",2,10,GLO,Toyota,61,+9.634s,8,2009
262,"Marina Bay Street Circuit, Singapore",3,7,ALO,Renault,61,+16.624s,6,2009
263,"Marina Bay Street Circuit, Singapore",4,15,VET,RBR Renault,61,+20.261s,5,2009
264,"Marina Bay Street Circuit, Singapore",5,22,BUT,Brawn Mercedes,61,+30.015s,4,2009
265,"Marina Bay Street Circuit, Singapore",6,23,BAR,Brawn Mercedes,61,+31.858s,3,2009
266,"Marina Bay Street Circuit, Singapore",7,2,KOV,McLaren Mercedes,61,+36.157s,2,2009
267,"Marina Bay Street Circuit, Singapore",8,5,KUB,Sauber BMW,61,+55.054s,1,2009
268,"Marina Bay Street Circuit, Singapore",9,17,NAK,Williams Toyota,61,+56.054s,0,2009
269,"Marina Bay Street Circuit, Singapore",10,4,RAI,Ferrari,61,+58.892s,0,2009
270,"Marina Bay Street Circuit, Singapore",11,16,ROS,Williams Toyota,61,+59.777s,0,2009
271,"Marina Bay Street Circuit, Singapore",12,9,TRU,Toyota,61,+73.009s,0,2009
272,"Marina Bay Street Circuit, Singapore",13,3,FIS,Ferrari,61,+79.890s,0,2009
273,"Marina Bay Street Circuit, Singapore",14,21,LIU,Force India Mercedes,61,+93.502s,0,2009
274,"Marina Bay Street Circuit, Singapore",NC,11,ALG,STR Ferrari,47,DNF,0,2009
275,"Marina Bay Street Circuit, Singapore",NC,12,BUE,STR Ferrari,47,DNF,0,2009
276,"Marina Bay Street Circuit, Singapore",NC,14,WEB,RBR Renault,45,DNF,0,2009
277,"Marina Bay Street Circuit, Singapore",NC,20,SUT,Force India Mercedes,23,DNF,0,2009
278,"Marina Bay Street Circuit, Singapore",NC,6,HEI,Sauber BMW,19,DNF,0,2009
279,"Marina Bay Street Circuit, Singapore",NC,8,GRO,Renault,3,DNF,0,2009
280,"Suzuka International Racing Course, Japan",1,15,VET,RBR Renault,53,28:20.4,10,2009
281,"Suzuka International Racing Course, Japan",2,9,TRU,Toyota,53,+4.877s,8,2009
282,"Suzuka International Racing Course, Japan",3,1,HAM,McLaren Mercedes,53,+6.472s,6,2009
283,"Suzuka International Racing Course, Japan",4,4,RAI,Ferrari,53,+7.940s,5,2009
284,"Suzuka International Racing Course, Japan",5,16,ROS,Williams Toyota,53,+8.793s,4,2009
285,"Suzuka International Racing Course, Japan",6,6,HEI,Sauber BMW,53,+9.509s,3,2009
286,"Suzuka International Racing Course, Japan",7,23,BAR,Brawn Mercedes,53,+10.641s,2,2009
287,"Suzuka International Racing Course, Japan",8,22,BUT,Brawn Mercedes,53,+11.474s,1,2009
288,"Suzuka International Racing Course, Japan",9,5,KUB,Sauber BMW,53,+11.777s,0,2009
289,"Suzuka International Racing Course, Japan",10,7,ALO,Renault,53,+13.065s,0,2009
290,"Suzuka International Racing Course, Japan",11,2,KOV,McLaren Mercedes,53,+13.735s,0,2009
291,"Suzuka International Racing Course, Japan",12,3,FIS,Ferrari,53,+14.596s,0,2009
292,"Suzuka International Racing Course, Japan",13,20,SUT,Force India Mercedes,53,+14.959s,0,2009
293,"Suzuka International Racing Course, Japan",14,21,LIU,Force India Mercedes,53,+15.734s,0,2009
294,"Suzuka International Racing Course, Japan",15,17,NAK,Williams Toyota,53,+17.973s,0,2009
295,"Suzuka International Racing Course, Japan",16,8,GRO,Renault,52,+1 lap,0,2009
296,"Suzuka International Racing Course, Japan",17,14,WEB,RBR Renault,51,+2 laps,0,2009
297,"Suzuka International Racing Course, Japan",NC,11,ALG,STR Ferrari,43,DNF,0,2009
